Tiro aperto,"GENERALE
(si applica a tutte le manovre statiche non comprese nelle altre colonne)",INFLUENZA E INTERAZIONE,DISATTIVARE TRAPPOLE E SCASSINARE SERRATURE,LETTURA RUNE ED USO DI OGGETTI MAGICI,PERCEZIONE E SEGUIRE TRACCE
1,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
2,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
3,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
4,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
5,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
6,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
7,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
8,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
9,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
10,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
11,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
12,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
13,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
14,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
15,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
16,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
17,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
18,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
19,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
20,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
21,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
22,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
23,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
24,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
25,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
26,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
27,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
28,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
29,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
30,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
31,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
32,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
33,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
34,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
35,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
36,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
37,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
38,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
39,FALLIMENTO: avete fallito. Per un giorno intero non potete tentare la stessa manovra statica nel medesimo luogo.,"FALLIMENTO: avete fallito. Chi vi ascolta sarà sordo almeno, per un giorno ai vostri tentativi di influenzarlo.",FALLIMENTO: per il momento non avete la più pallida idea di come scassinareo disattivare. Dopo 24 ore fate un Tiro Percezione: se è positivo potete ripetere il tentativo.,FALLIMENTO: non avete più idea su come leggere/usare questa Runa/oggetto. Potete effettuare un nuovo tentativo solo dopo essere progrediti di un livello di esperienza.,"FALLIMENTO: non ottenete alcuna informazione, ma siete convinti di aver saputo tutto il possibile. Per 1 giorno non potete ripetere il tentativo nella stessa zona, con gli stessi scopi."
